title,author,isbn,avg rating,shelves,date added
Capital in the Twenty-First Century,"Piketty, Thomas",067443000X,4.04,"to-read
[edit]","Jan 30, 2020"
A Card from Angela Carter,"Clapp, Susannah",1408826909,3.76,"to-read
[edit]","Jan 30, 2020"
Now All Roads Lead To France,"Hollis, Matthew",571245986,4.08,"to-read
[edit]","Jan 28, 2020"
Why Be Happy When You Could Be Normal?,"Winterson, Jeanette",307401243,3.97,"to-read
[edit]","Jan 28, 2020"
The Immortal Life of Henrietta Lacks,"Skloot, Rebecca *",1400052173,4.07,"to-read
[edit]","Jan 28, 2020"
"Slow Horses (Slough House, #1)","Herron, Mick",1569479011,3.87,"to-read
[edit]","Jan 28, 2020"
"Leviathan: Or, The Whale","Hoare, Philip",7230141,3.95,"to-read
[edit]","Jan 28, 2020"
"Olive Kitteridge (Olive Kitteridge, #1)","Strout, Elizabeth",,3.83,"to-read
[edit]","Jan 28, 2020"
Fun Home: A Family Tragicomic,"Bechdel, Alison",618871713,4.07,"to-read
[edit]","Jan 28, 2020"
Watching the English: The Hidden Rules of English Behaviour,"Fox, Kate",340752122,3.92,"to-read
[edit]","Jan 27, 2020"
London Orbital,"Sinclair, Iain",141014741,3.68,"to-read
[edit]","Jan 27, 2020"
The Secret Life of Bees,"Kidd, Sue Monk *",142001740,4.06,"to-read
[edit]","Jan 27, 2020"
English Passengers,"Kneale, Matthew",038549744X,4.06,"to-read
[edit]","Jan 27, 2020"
Bad Blood,"Sage, Lorna",60938080,3.55,"to-read
[edit]","Jan 27, 2020"
Tales from Outer Suburbia,"Tan, Shaun",771084021,4.32,"to-read
[edit]","Jan 20, 2020"
A Youthful Diary,"Ikeda, Daisaku",915678683,4.66,"to-read
[edit]","Jan 13, 2020"
The Righteous Mind: Why Good People Are Divided by Politics and Religion,"Haidt, Jonathan",,4.21,"to-read
[edit]","Nov 27, 2019"
Death in the East (Sam Wyndham # 4),"Mukherjee, Abir *",1787300579,4.29,"to-read
[edit]","Nov 24, 2019"
Somewhere Becoming Rain: Collected Writings on Philip Larkin,"James, Clive",1529028825,4.2,"to-read
[edit]","Nov 24, 2019"
The Topeka School,"Lerner, Ben",374277788,3.53,"to-read
[edit]","Nov 24, 2019"
Autumn Light: Season of Fire and Farewells,"Iyer, Pico",451493931,3.99,"to-read
[edit]","Nov 24, 2019"
Sour: More Than Mere Taste: the Magical Element that Transforms Your Cooking,"Diacono, Mark",1787132269,4.46,"to-read
[edit]","Nov 24, 2019"
"The Gaijin Cookbook: Japanese Recipes from a Chef, Father, Eater, and Lifelong Outsider","Orkin, Ivan",,4.15,"to-read
[edit]","Nov 24, 2019"
"Time and How to Spend It: The 7 Rules for Richer, Happier Days","Wallman, James *",753552663,3.5,"to-read
[edit]","Nov 23, 2019"
The Weather Machine: A Journey Inside the Forecast,"Blum, Andrew *",62368613,3.45,"to-read
[edit]","Nov 23, 2019"
Without the Banya We Would Perish: A History of the Russian Bathhouse,"Pollock, Ethan",195395484,3.4,"to-read
[edit]","Nov 23, 2019"
The Boundless Sea: A Human History of the Oceans,"Abulafia, David",1846145082,4.25,"to-read
[edit]","Nov 23, 2019"
The Code: Silicon Valley and the Remaking of America,"O'Mara, Margaret",,3.97,"to-read
[edit]","Nov 23, 2019"
"Legacy: One Family, a Cup of Tea and the Company that Took On the World","Harding, Thomas *",1785150898,4.21,"to-read
[edit]","Nov 23, 2019"
21 Letters on Life and Its Challenges,"Handy, Charles",1786331950,4.43,"to-read
[edit]","Nov 23, 2019"
Range: Why Generalists Triumph in a Specialized World,"Epstein, David *",735214484,4.16,"to-read
[edit]","Nov 23, 2019"
Anxious Times: Medicine and Modernity in Nineteenth-Century Britain,"Bonea, Amelia",822945517,3,"to-read
[edit]","Nov 23, 2019"
Narrative Economics: How Stories Go Viral and Drive Major Economic Events,"Shiller, Robert J.",691182299,3.62,"to-read
[edit]","Nov 23, 2019"
"Extreme Economies: Survival, Failure, Future – Lessons from the World’s Limits","Davies, Richard",1787631990,4.18,"to-read
[edit]","Nov 23, 2019"
Unbound: How Inequality Constricts Our Economy and What We Can Do about It,"Boushey, Heather",674919319,4.25,"to-read
[edit]","Nov 23, 2019"
The Miracle of Castel di Sangro: A Tale of Passion and Folly in the Heart of Italy,"McGinniss, Joe",767905997,4.19,"to-read
[edit]","Nov 06, 2019"
"We Are All Stardust: Leading Scientists Talk About Their Work, Their Lives, and the Mysteries of Our Existence","Klein, Stefan",1615190597,4.15,"to-read
[edit]","Nov 06, 2019"
Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,"Hiltzik, Michael A.",887309895,4.12,"to-read
[edit]","Nov 06, 2019"
Mrs. Everything,"Weiner, Jennifer *",1501133489,3.85,"to-read
[edit]","Nov 05, 2019"
The Island of Sea Women,"See, Lisa *",,4.25,"to-read
[edit]","Nov 05, 2019"
Save Me the Plums: My Gourmet Memoir,"Reichl, Ruth",1400069998,4.1,"to-read
[edit]","Nov 05, 2019"
Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals About Death,"Doughty, Caitlin",039365270X,4.15,"to-read
[edit]","Nov 05, 2019"
Underland,"Macfarlane, Robert *",393242145,4.23,"to-read
[edit]","Nov 05, 2019"
Invisible Women: Data Bias in a World Designed for Men,"Criado Perez, Caroline",1419729071,4.41,"to-read
[edit]","Nov 05, 2019"
How To: Absurd Scientific Advice for Common Real-World Problems,"Munroe, Randall *",525537090,4.18,"to-read
[edit]","Nov 05, 2019"
Never Enough: The Neuroscience and Experience of Addiction,"Grisel, Judith",385542844,4.08,"to-read
[edit]","Nov 05, 2019"
Blueprint: The Evolutionary Origins of a Good Society,"Christakis, Nicholas A.",316230030,3.96,"to-read
[edit]","Nov 05, 2019"
Say Nothing: A True Story of Murder and Memory in Northern Ireland,"Keefe, Patrick Radden",385521316,4.42,"to-read
[edit]","Nov 05, 2019"
Upheaval: Turning Points for Nations in Crisis,"Diamond, Jared",316409138,3.88,"to-read
[edit]","Nov 05, 2019"
How to Hide an Empire: A History of the Greater United States,"Immerwahr, Daniel",374172145,4.45,"to-read
[edit]","Nov 05, 2019"
